
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x04","0x07","0x08","0x09","0x0A","0x0B","0x0C","0x0E","0x0F","0x10","0x11","0x14","0x3D","0x41","0x4B","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x61","0x62","0x63","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x82","0xC0","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","4","7","8","9","10","11","12","14","15","16","17","20","61","65","PUSHBYTES75","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","NOP","JMP","JMPIF","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SIZE","ARRAYSIZE","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"Unknown.cs","0","// No source code available","70","4","2","1","2","2","4","2","3","3","1","2","2","2","1","1","1","52","84","35","18","14","13","14","14","6","3","2","2","2","1","45","10","3","11","22","178","178","17","21","185","8","39","41","20","2","1","153","86","15","9"
"","","Tally by Opcode>","70","4","2","1","2","2","4","2","3","3","1","2","2","2","1","1","1","52","84","35","18","14","13","14","14","6","3","2","2","2","1","45","10","3","11","22","178","178","17","21","185","8","39","41","20","2","1","153","86","15","9"
"","","Total Tally>","1407"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x04","0x07","0x08","0x09","0x0A","0x0B","0x0C","0x0E","0x0F","0x10","0x11","0x14","0x3D","0x41","0x4B","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x61","0x62","0x63","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x82","0xC0","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","4","7","8","9","10","11","12","14","15","16","17","20","61","65","PUSHBYTES75","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","NOP","JMP","JMPIF","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SIZE","ARRAYSIZE","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"Unknown.cs","0","// No source code available","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.003","0.011","0.022","0.178","0.178","0.017","0.021","0.185","0.008","0.039","0.041","0.02","0.002","0","0.153","0.086","0.015","9"
"","","Costs by Opcode>","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.003","0.011","0.022","0.178","0.178","0.017","0.021","0.185","0.008","0.039","0.041","0.02","0.002","0","0.153","0.086","0.015","9"
"","","Total Cost>","9.989"
