
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x03","0x04","0x06","0x07","0x08","0x09","0x0B","0x0F","0x11","0x14","0x15","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x7F","0x87","0x93","0x94","0x9C","0x9F","0xA0","0xA2","0xC0","0xC1","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","3","4","6","7","8","9","11","15","17","20","21","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SUBSTR","EQUAL","ADD","SUB","NUMEQUAL","LT","GT","GTE","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"D:\repos\neo-dotnetquickstart\EN-us\examples\NPC.mwherman2000.NPCNEP5Token1\NPC.mwherman2000.NPCNEP5Token1.Contract\NPCNEP5Contract.cs","0","// No source code available","84","9","2","2","2","1","0","0","0","2","1","2","2","44","130","39","22","15","9","5","4","2","1","0","0","0","1","1","0","82","44","6","15","13","190","190","13","25","175","8","80","23","7","0","1","0","0","5","1","0","0","4","1","102","101","18","4"
"D:\repos\neo-dotnetquickstart\EN-us\examples\NPC.mwherman2000.NPCNEP5Token1\NPC.mwherman2000.NPCNEP5Token1.Contract\NPCNEP5Contract.cs","24","        }","100","25","2","6","2","3","4","1","1","4","3","1","4","64","201","55","29","19","13","10","7","8","7","5","3","4","5","8","4","113","50","19","15","18","313","313","23","29","298","12","122","31","17","1","8","2","2","9","0","1","1","7","2","189","146","18","8"
"","","Tally by Opcode>","184","34","4","8","4","4","4","1","1","6","4","3","6","108","331","94","51","34","22","15","11","10","8","5","3","4","6","9","4","195","94","25","30","31","503","503","36","54","473","20","202","54","24","1","9","2","2","14","1","1","1","11","3","291","247","36","12"
"","","Total Tally>","3853"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x03","0x04","0x06","0x07","0x08","0x09","0x0B","0x0F","0x11","0x14","0x15","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x7F","0x87","0x93","0x94","0x9C","0x9F","0xA0","0xA2","0xC0","0xC1","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","3","4","6","7","8","9","11","15","17","20","21","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SUBSTR","EQUAL","ADD","SUB","NUMEQUAL","LT","GT","GTE","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"D:\repos\neo-dotnetquickstart\EN-us\examples\NPC.mwherman2000.NPCNEP5Token1\NPC.mwherman2000.NPCNEP5Token1.Contract\NPCNEP5Contract.cs","0","// No source code available","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.044","0.006","0.015","0.013","0.19","0.19","0.013","0.025","0.175","0.008","0.08","0.023","0.007","0","0","0","0","0.005","0","0","0","0.004","0","0.102","0.101","0.018","4"
"D:\repos\neo-dotnetquickstart\EN-us\examples\NPC.mwherman2000.NPCNEP5Token1\NPC.mwherman2000.NPCNEP5Token1.Contract\NPCNEP5Contract.cs","24","        }","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.019","0.015","0.018","0.313","0.313","0.023","0.029","0.298","0.012","0.122","0.031","0.017","0","0.008","0.002","0.002","0.009","0","0","0","0.007","0.002","0.189","0.146","0.018","8"
"","","Costs by Opcode>","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.094","0.025","0.03","0.031","0.503","0.503","0.036","0.054","0.473","0.02","0.202","0.054","0.024","0","0.008","0.002","0.002","0.014","0","0","0","0.011","0.002","0.291","0.247","0.036","12"
"","","Total Cost>","14.662"
