
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x03","0x04","0x06","0x07","0x08","0x09","0x0B","0x0F","0x11","0x14","0x15","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x61","0x62","0x63","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x7F","0x87","0x90","0x93","0x94","0x9E","0xA0","0xA2","0xC0","0xC1","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","3","4","6","7","8","9","11","15","17","20","21","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","NOP","JMP","JMPIF","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SUBSTR","EQUAL","ABS","ADD","SUB","NUMNOTEQUAL","GT","GTE","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"Unknown.cs","0","// No source code available","63","4","2","6","2","4","4","1","1","5","4","1","4","62","139","48","27","16","9","10","7","3","73","14","9","10","14","21","221","221","23","28","213","12","65","39","20","1","8","4","2","2","2","1","1","7","2","155","90","17","8"
"","","Tally by Opcode>","63","4","2","6","2","4","4","1","1","5","4","1","4","62","139","48","27","16","9","10","7","3","73","14","9","10","14","21","221","221","23","28","213","12","65","39","20","1","8","4","2","2","2","1","1","7","2","155","90","17","8"
"","","Total Tally>","1705"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x03","0x04","0x06","0x07","0x08","0x09","0x0B","0x0F","0x11","0x14","0x15","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x61","0x62","0x63","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x7F","0x87","0x90","0x93","0x94","0x9E","0xA0","0xA2","0xC0","0xC1","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","3","4","6","7","8","9","11","15","17","20","21","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","NOP","JMP","JMPIF","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SUBSTR","EQUAL","ABS","ADD","SUB","NUMNOTEQUAL","GT","GTE","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"Unknown.cs","0","// No source code available","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.014","0.009","0.01","0.014","0.021","0.221","0.221","0.023","0.028","0.213","0.012","0.065","0.039","0.02","0","0.008","0.004","0.002","0.002","0.002","0","0","0.007","0.002","0.155","0.09","0.017","8"
"","","Costs by Opcode>","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.014","0.009","0.01","0.014","0.021","0.221","0.221","0.023","0.028","0.213","0.012","0.065","0.039","0.02","0","0.008","0.004","0.002","0.002","0.002","0","0","0.007","0.002","0.155","0.09","0.017","8"
"","","Total Cost>","9.199"
